matrix,threads,schedule,chunk,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_misses,time_ms
twotone,8,static,1000,737761109,2456847,16150,2229,
twotone,8,static,1000,737761109,2484506,16196,2237,
twotone,8,static,1000,737761110,2506313,16181,2417,
twotone,8,static,10000,737761111,2473076,16181,2245,
twotone,8,static,10000,737761111,2456340,15799,2332,
twotone,8,static,10000,737761111,2497978,16309,2688,
twotone,8,static,10000,737761109,2457823,16283,2574,
twotone,8,static,10000,737761111,2471482,16285,2878,
twotone,8,dynamic,100,737761430,2475242,15830,2380,
twotone,8,dynamic,100,737761429,2470338,16385,2788,
twotone,8,dynamic,100,737761430,2464941,15926,2559,
twotone,8,dynamic,100,737761430,2477434,16165,2685,
twotone,8,dynamic,100,737761430,2470409,15826,2432,
twotone,8,dynamic,1000,737761431,2474525,15894,2557,
twotone,8,dynamic,1000,737761430,2462601,15882,2229,
twotone,8,dynamic,1000,737761431,2482052,16011,2533,
twotone,8,dynamic,1000,737761431,2462499,15842,2184,
twotone,8,dynamic,1000,737761431,2473175,16231,2620,
twotone,8,dynamic,10000,737761432,2563198,15903,2291,
twotone,8,dynamic,10000,737761433,2480205,16133,2861,
twotone,8,dynamic,10000,737761433,2454637,15764,2677,
twotone,8,dynamic,10000,737761432,2480208,16120,2884,
twotone,8,dynamic,10000,737761432,2478988,15911,2931,
twotone,8,guided,100,737761433,2461915,15926,2499,
twotone,8,guided,100,737761433,2472831,16019,2730,
twotone,8,guided,100,737761433,2470377,15981,2650,
twotone,8,guided,100,737761432,2456313,16176,2385,
twotone,8,guided,100,737761431,2473907,15966,2602,
twotone,8,guided,1000,737761434,2462165,16168,2531,
twotone,8,guided,1000,737761434,2474016,15919,2373,
twotone,8,guided,1000,737761434,2469622,16197,2223,
twotone,8,guided,1000,737761434,2470040,16184,2326,
twotone,8,guided,1000,737761434,2471527,15859,2162,
twotone,8,guided,10000,737761434,2472917,15950,2617,
twotone,8,guided,10000,737761435,2466621,15941,2432,
twotone,8,guided,10000,737761434,2468825,16075,2930,
twotone,8,guided,10000,737761436,2474082,16038,2505,
twotone,8,guided,10000,737761435,2483423,16360,2693,
twotone,16,static,100,737761110,2472988,15628,2496,
twotone,16,static,100,737761110,2458200,15717,2569,
twotone,16,static,100,737761110,2471168,15662,2494,
twotone,16,static,100,737761109,2478173,16040,2606,
twotone,16,static,100,737761110,2447801,15960,2626,
twotone,16,static,1000,737761111,2470454,15987,2664,
twotone,16,static,1000,737761111,2479362,16287,2551,
twotone,16,static,1000,737761111,2500955,16166,2492,
twotone,16,static,1000,737761111,2468288,16245,2358,
twotone,16,static,1000,737761111,2469456,16389,2645,
twotone,16,static,10000,737761112,2477076,16197,2469,
twotone,16,static,10000,737761112,2475705,16341,2733,
twotone,16,static,10000,737761112,2472513,15918,2503,
twotone,16,static,10000,737761112,2473878,16416,2685,
twotone,16,static,10000,737761112,2466473,16120,2604,
twotone,16,dynamic,100,737761431,2486078,15810,2540,
twotone,16,dynamic,100,737761430,2471608,16426,2806,
twotone,16,dynamic,100,737761431,2472466,16165,2614,
twotone,16,dynamic,100,737761431,2472185,16101,2376,
twotone,16,dynamic,100,737761429,2474953,15682,3007,
twotone,16,dynamic,1000,737761432,2471354,16326,2666,
twotone,16,dynamic,1000,737761432,2469560,15938,2398,
twotone,16,dynamic,1000,737761432,2454029,16346,2591,
twotone,16,dynamic,1000,737761431,2490005,16164,2587,
twotone,16,dynamic,1000,737761431,2462159,16001,2247,
twotone,16,dynamic,10000,737761433,2475664,16062,2869,
twotone,16,dynamic,10000,737761433,2457769,16125,2835,
twotone,16,dynamic,10000,737761433,2497959,16002,2646,
twotone,16,dynamic,10000,737761433,2460183,15907,2686,
twotone,16,dynamic,10000,737761433,2469254,16176,2825,
twotone,16,guided,100,737761434,2469351,15991,2948,
twotone,16,guided,100,737761434,2469122,15780,2324,
twotone,16,guided,100,737761434,2465026,16156,3003,
twotone,16,guided,100,737761434,2467431,16147,2509,
twotone,16,guided,100,737761434,2474654,15932,2584,
twotone,16,guided,1000,737761435,2466208,15942,2549,
twotone,16,guided,1000,737761435,2479250,16281,2541,
twotone,16,guided,1000,737761434,2472253,16089,2257,
twotone,16,guided,1000,737761435,2464896,15441,2196,
twotone,16,guided,1000,737761436,2468995,15869,2447,
twotone,16,guided,10000,737761435,2468733,15962,2183,
twotone,16,guided,10000,737761436,2465200,16063,2593,
twotone,16,guided,10000,737761436,2473242,16036,2572,
twotone,16,guided,10000,737761437,2492919,16376,2977,
twotone,16,guided,10000,737761435,2475566,15756,2736,
twotone,32,static,100,737761109,2518370,16062,2504,
twotone,32,static,100,737761109,2468143,15865,2627,
twotone,32,static,100,737761110,2469400,15612,2375,
twotone,32,static,100,737761110,2470114,16142,3116,
twotone,32,static,100,737761110,2471204,15907,2300,
twotone,32,static,1000,737761111,2468252,16049,2289,
twotone,32,static,1000,737761111,2471040,16467,2512,
twotone,32,static,1000,737761110,2472075,16142,2327,
twotone,32,static,1000,737761110,2476583,15652,2442,
twotone,32,static,1000,737761110,2447591,15974,2417,
twotone,32,static,10000,737761112,2454970,16041,2175,
twotone,32,static,10000,737761112,2451652,16126,2568,
twotone,32,static,10000,737761112,2464941,15981,2446,
twotone,32,static,10000,737761112,2487870,16026,2796,
twotone,32,static,10000,737761111,2469712,16327,2614,
twotone,32,dynamic,100,737761431,2469585,16208,2627,
twotone,32,dynamic,100,737761431,2482257,16053,2618,
twotone,32,dynamic,100,737761430,2463345,15842,2529,
twotone,32,dynamic,100,737761430,2497194,16131,2684,
twotone,32,dynamic,100,737761431,2457829,15978,2411,
twotone,32,dynamic,1000,737761432,2467855,15918,2560,
twotone,32,dynamic,1000,737761432,2511112,15911,2177,
twotone,32,dynamic,1000,737761432,2479588,16186,2382,
twotone,32,dynamic,1000,737761432,2468949,15579,2444,
twotone,32,dynamic,1000,737761432,2461253,15693,2361,
twotone,32,dynamic,10000,737761433,2493368,15984,2113,
twotone,32,dynamic,10000,737761433,2470895,16366,2641,
twotone,32,dynamic,10000,737761434,2482806,16130,2612,
twotone,32,dynamic,10000,737761433,2471094,15974,2558,
twotone,32,dynamic,10000,737761432,2488114,15911,2771,
twotone,32,guided,100,737761434,2456486,15992,2713,
twotone,32,guided,100,737761433,2486498,15925,2494,
twotone,32,guided,100,737761434,2462377,16141,2862,
twotone,32,guided,100,737761433,2470460,16009,2347,
twotone,32,guided,100,737761434,2467572,16128,2698,
twotone,32,guided,1000,737761435,2470123,15874,2389,
twotone,32,guided,1000,737761435,2475534,15887,2569,
twotone,32,guided,1000,737761435,2486758,16089,2166,
twotone,32,guided,1000,737761435,2461991,15982,2433,
twotone,32,guided,1000,737761435,2489139,15992,2300,
twotone,32,guided,10000,737761436,2488546,16308,2376,
twotone,32,guided,10000,737761436,2489628,16049,2588,
twotone,32,guided,10000,737761436,2473143,15719,2471,
twotone,32,guided,10000,737761436,2516802,16253,2668,
twotone,32,guided,10000,737761436,2490151,15933,2486,
twotone,64,static,100,737761109,2480696,15945,2692,
twotone,64,static,100,737761109,2471563,16132,2912,
twotone,64,static,100,737761109,2466939,15998,2719,
twotone,64,static,100,737761110,2470929,15967,2652,
twotone,64,static,100,737761110,2471496,16165,2963,
twotone,64,static,1000,737761110,2481243,16078,2778,
twotone,64,static,1000,737761110,2466827,15899,2480,
twotone,64,static,1000,737761110,2452274,16382,2318,
twotone,64,static,1000,737761111,2474233,15956,2312,
twotone,64,static,1000,737761111,2468553,15652,2910,
twotone,64,static,10000,737761112,2491682,16279,2262,
twotone,64,static,10000,737761111,2512819,16167,2728,
twotone,64,static,10000,737761112,2465663,16142,2712,
twotone,64,static,10000,737761112,2469601,16148,2583,
twotone,64,static,10000,737761112,2457229,16183,2814,
twotone,64,dynamic,100,737761431,2477225,16240,2648,
twotone,64,dynamic,100,737761430,2466614,15627,2550,
twotone,64,dynamic,100,737761430,2467301,16241,2727,
twotone,64,dynamic,100,737761431,2466118,15787,2440,
twotone,64,dynamic,100,737761431,2472034,15960,2708,
twotone,64,dynamic,1000,737761431,2469212,16369,2672,
twotone,64,dynamic,1000,737761432,2497164,15565,2055,
twotone,64,dynamic,1000,737761432,2470972,16147,2608,
twotone,64,dynamic,1000,737761432,2475958,16059,2068,
twotone,64,dynamic,1000,737761432,2493228,16245,2509,
twotone,64,dynamic,10000,737761433,2458527,15896,2321,
twotone,64,dynamic,10000,737761433,2481736,15774,2467,
twotone,64,dynamic,10000,737761433,2484282,16159,2758,
twotone,64,dynamic,10000,737761433,2471278,15855,2591,
twotone,64,dynamic,10000,737761433,2483172,15972,2741,
twotone,64,guided,100,737761434,2531930,16147,3060,
twotone,64,guided,100,737761434,2476755,15820,2591,
twotone,64,guided,100,737761434,2467607,16419,2623,
twotone,64,guided,100,737761435,2473680,16344,2447,
twotone,64,guided,100,737761434,2455344,15941,2326,
twotone,64,guided,1000,737761434,2452662,16055,2336,
twotone,64,guided,1000,737761437,2471876,16182,2454,
twotone,64,guided,1000,737761435,2501253,15646,2338,
twotone,64,guided,1000,737761436,2451841,16180,2126,
twotone,64,guided,1000,737761434,2475563,15872,2152,
twotone,64,guided,10000,737761435,2487081,15896,2123,
twotone,64,guided,10000,737761434,2456082,16178,2463,
twotone,64,guided,10000,737761436,2448731,16250,2523,
twotone,64,guided,10000,737761436,2460874,16174,2628,
twotone,64,guided,10000,737761436,2475337,15736,2641,
Transport,1,static,100,17520237642,40890247,87545,23771,
Transport,1,static,100,17520237641,40323778,79329,24666,
Transport,1,static,100,17520237640,40374444,78133,23914,
Transport,1,static,100,17520237641,40217511,78780,24045,
Transport,1,static,100,17520237638,41395478,77461,23641,
Transport,2,static,100,17520237641,41029378,78826,24289,
Transport,2,static,100,17520237641,41327358,79062,23917,
Transport,2,static,100,17520237638,39944993,80426,23790,
Transport,2,static,100,17520237639,40781459,78260,24511,
Transport,2,static,100,17520237638,40248240,77871,23866,
Transport,2,static,1000,17520237634,42037355,80621,24380,
Transport,2,static,1000,17520237634,40330075,80793,24994,
Transport,2,static,1000,17520237632,41381331,75907,24689,
Transport,2,static,1000,17520237635,39992866,79164,24494,
Transport,2,static,1000,17520237633,40934961,80439,24751,
Transport,2,static,10000,17520237644,40238505,79089,24038,
Transport,2,static,10000,17520237642,40575844,75971,23512,
Transport,2,static,10000,17520237641,40322195,80307,23983,
Transport,2,static,10000,17520237644,41027757,78510,24008,
Transport,2,static,10000,17520237644,40999291,79521,24059,
Transport,2,dynamic,100,17520237962,40471981,79554,24274,
Transport,2,dynamic,100,17520237963,40686068,81953,24472,
Transport,2,dynamic,100,17520237963,40369861,79585,23814,
Transport,2,dynamic,100,17520237963,41221993,78928,23905,
Transport,2,dynamic,100,17520237963,40636284,79031,23785,
Transport,2,dynamic,1000,17520237956,44601119,80478,24166,
Transport,2,dynamic,1000,17520237955,41346220,80767,24732,
Transport,2,dynamic,1000,17520237956,41081875,79959,24648,
Transport,2,dynamic,1000,17520237957,41771926,80115,24455,
Transport,2,dynamic,1000,17520237956,40741268,75480,24629,
Transport,2,dynamic,10000,17520237965,40563823,80601,24135,
Transport,2,dynamic,10000,17520237962,39868143,79410,23922,
Transport,2,dynamic,10000,17520237964,40655369,80608,24430,
Transport,2,dynamic,10000,17520237963,40471378,74821,23619,
Transport,2,dynamic,10000,17520237962,40827572,77296,23953,
Transport,2,guided,100,17520237960,40751416,81707,24358,
Transport,2,guided,100,17520237966,40665078,79635,23933,
Transport,2,guided,100,17520237963,40354641,79744,24615,
Transport,2,guided,100,17520237963,41330394,80424,24265,
Transport,2,guided,100,17520237964,41629623,76859,24118,
Transport,2,guided,1000,17520237958,41120427,76910,24544,
Transport,2,guided,1000,17520237957,40169217,78752,24495,
Transport,2,guided,1000,17520237958,40566745,80727,24789,
