matrix,size,time_comunication_ms,time_multiplication_ms,gflops,avg_nnz,global_min_nnz,global_max_nnz,avg_comm,global_min_comm,global_max_comm
../data/matrix_weak_1.mtx, 1, 0.000002, 0.012398, 2.071664, 12842.000000, 12842, 12842, 0.000000, 0, 0
../data/matrix_weak_2.mtx, 2, 0.000179, 0.012398, 4.144134, 12844.500000, 12822, 12867, 512.000000, 512, 512
../data/matrix_weak_4.mtx, 4, 0.000174, 0.016689, 6.118291, 12763.750000, 12690, 12854, 1536.000000, 1536, 1536
../data/matrix_weak_8.mtx, 8, 0.000271, 0.022650, 9.042390, 12800.500000, 12734, 12917, 3576.250000, 3571, 3580
../data/matrix_weak_16.mtx, 16, 0.000400, 0.023842, 17.160911, 12785.875000, 12565, 12909, 7345.625000, 7314, 7382
../data/matrix_weak_32.mtx, 32, 0.000857, 0.069141, 11.863979, 12817.062500, 12639, 13025, 12568.875000, 12499, 12645
../data/matrix_weak_64.mtx, 64, 0.039454, 0.060081, 27.308681, 12818.328125, 12573, 13119, 17514.281250, 17236, 17756
../data/matrix_weak_128.mtx, 128, 0.080789, 0.101328, 32.345505, 12802.742188, 12537, 13089, 21033.859375, 20729, 21485
